Date,NOROESTE 2 CO ppm,NOROESTE 2 NO ppb,NOROESTE 2 NO2 ppb,NOROESTE 2 NOX ppb,NOROESTE 2 O3 ppb,NOROESTE 2 PM10 ug/m3,NOROESTE 2 PM2.5 ug/m3,NOROESTE 2 PRS mmhg,NOROESTE 2 RAINF mm/hr,NOROESTE 2 RH %,NOROESTE 2 SO2 ppb,NOROESTE 2 SR KW/m2,NOROESTE 2 TOUT degC,NOROESTE 2 WSR KMPH,NOROESTE 2 WDV DEG
2023-08-09 15:00:00,0.5,2.4,9.9,12.2,92.0,104.0,8.351016949152541,697.2,0.0,26.0,2.4,0.0,37.59,15.4,106.0
2023-08-09 16:00:00,0.39,2.2,10.1,12.3,79.0,98.0,9.706,697.3,0.0,27.0,2.1,0.0,36.12,11.8,109.0
2023-08-09 17:00:00,0.6,3.4,17.5,20.9,65.0,67.0,9.154,696.6,0.0,30.0,2.3,0.0,35.15,11.4,95.0
2023-08-09 18:00:00,0.45,2.9,14.1,17.0,52.0,96.0,10.206,696.5,0.0,30.0,2.3,0.0,35.4,11.6,103.0
2023-08-09 19:00:00,0.46,4.7,19.1,23.7,41.0,67.0,9.006,696.5,0.0,30.0,2.1,0.0,35.25,9.8,84.0
2023-08-09 20:00:00,0.69,11.1,28.6,39.6,25.0,71.0,11.476,696.5,0.0,29.0,2.4,0.0,34.75,7.1,64.0
2023-08-09 21:00:00,0.68,6.1,30.2,36.2,18.0,69.0,7.241389830508474,696.7,0.0,30.0,2.3,0.0,34.39,8.0,86.0
2023-08-09 22:00:00,0.48,4.2,13.7,17.8,13.0,105.0,11.795593220338985,697.2,0.0,47.0,1.9,0.0,32.04,20.1,84.0
2023-08-09 23:00:00,0.33,2.8,9.1,11.7,15.0,171.0,11.06446327683616,697.7,0.0,52.0,1.7,0.0,30.26,14.3,94.0
2023-08-10 00:00:00,0.33,3.4,8.6,11.8,15.0,95.0,13.534,697.8,0.0,53.0,1.7,0.0,29.56,11.5,100.0
2023-08-10 01:00:00,0.29,2.7,9.6,12.2,14.0,103.0,8.854,697.8,0.0,56.0,1.6,0.0,28.72,9.5,112.0
2023-08-10 02:00:00,0.34,2.1,9.1,11.2,13.0,61.0,9.116,697.6,0.0,58.0,1.6,0.0,27.75,5.6,129.0
2023-08-10 03:00:00,0.28,2.1,11.8,13.8,11.0,59.0,9.942,697.2,0.0,61.0,1.7,0.0,26.82,5.2,108.0
2023-08-10 04:00:00,0.24,2.5,11.1,13.5,10.0,48.0,8.282,697.1,0.0,63.0,1.7,0.0,25.97,4.8,78.0
2023-08-10 05:00:00,0.33,4.1,10.1,14.2,11.0,47.0,7.469999999999999,697.3,0.0,65.0,1.7,0.0,25.61,5.4,96.0
2023-08-10 06:00:00,0.62,14.1,16.2,55.2,6.0,61.0,6.87,697.6,0.0,67.0,1.9,0.0,24.74,3.7,8.0
2023-08-10 07:00:00,0.51,24.1,16.4,40.4,6.0,78.0,8.33,698.3,0.0,67.0,1.8,0.0,24.9,3.4,34.0
2023-08-10 08:00:00,0.49,18.8,13.8,32.5,10.0,100.0,11.78,698.5,0.0,66.0,1.7,0.0,26.01,5.4,61.0
2023-08-10 09:00:00,0.4,11.2,12.8,23.9,17.0,47.0,10.776,698.4,0.0,57.0,1.8,0.0,28.91,3.7,124.0
2023-08-10 10:00:00,0.59,11.2,18.3,29.5,24.0,81.0,11.762,698.1,0.0,47.0,1.8,0.0,32.08,4.6,145.0
2023-08-10 11:00:00,0.51,5.5,13.7,19.2,41.0,118.0,14.61,697.8,0.0,42.0,1.8,0.0,33.34,8.8,114.0
2023-08-10 12:00:00,0.42,5.1,16.5,21.5,53.0,124.0,18.51,697.7,0.0,38.0,1.7,0.0,34.63,11.8,106.0
2023-08-10 13:00:00,0.44,3.0,13.0,15.9,84.0,138.0,17.253999999999998,697.4,0.0,35.0,1.8,0.0,35.72,13.6,105.0
2023-08-10 14:00:00,0.52,2.7,12.3,14.9,101.0,128.0,14.848000000000004,697.0,0.0,33.0,1.8,0.0,36.72,14.9,103.0
2023-08-10 15:00:00,0.44,2.7,10.6,13.2,88.0,125.0,18.0,696.5,0.0,30.0,1.8,0.0,37.18,17.4,107.0
2023-08-10 16:00:00,0.32,3.2,9.6,12.8,74.0,127.0,15.4,695.9,0.0,28.0,1.9,0.0,37.31,14.8,117.0
2023-08-10 17:00:00,0.29,2.5,8.3,10.8,68.0,91.0,14.8,695.7,0.0,25.0,2.1,0.0,37.12,12.6,119.0
2023-08-10 18:00:00,0.36,2.3,10.4,12.7,64.0,74.0,14.3,695.4,0.0,27.0,2.1,0.0,36.79,11.6,112.0
2023-08-10 19:00:00,0.32,2.3,10.4,12.7,53.0,101.0,9.133333333333333,695.7,0.0,28.0,2.2,0.0,36.38,12.3,108.0
2023-08-10 20:00:00,0.38,2.2,12.3,14.5,39.0,110.0,12.099999999999998,696.0,0.0,29.0,2.1,0.0,35.47,10.2,102.0
2023-08-10 21:00:00,0.48,3.8,20.5,24.2,20.0,116.0,9.966949152542371,696.3,0.0,29.0,2.1,0.0,34.65,11.4,85.0
2023-08-10 22:00:00,0.39,3.6,9.7,13.2,16.0,120.0,9.977966101694916,697.0,0.0,49.0,1.8,0.0,32.39,20.0,85.0
2023-08-10 23:00:00,0.32,2.7,6.8,9.6,13.0,202.0,9.988983050847455,697.6,0.0,61.0,1.6,0.0,30.06,16.2,93.0
2023-08-11 00:00:00,0.27,2.7,6.7,9.4,13.0,96.0,10.0,698.2,0.0,66.0,1.7,0.0,28.72,14.1,92.0
2023-08-11 01:00:00,0.28,2.3,7.0,9.2,13.0,74.0,10.0,698.2,0.0,68.0,1.7,0.0,27.98,11.1,101.0
2023-08-11 02:00:00,0.38,2.1,7.6,9.6,12.0,66.0,11.0,698.1,0.0,70.0,1.7,0.0,27.34,6.8,105.0
2023-08-11 03:00:00,0.29,2.1,9.2,11.3,10.0,60.0,12.0,698.1,0.0,73.0,1.7,0.0,26.7,7.0,110.0
2023-08-11 04:00:00,0.32,2.1,8.8,10.8,10.0,55.0,13.0,698.1,0.0,74.0,1.6,0.0,26.31,6.8,100.0
2023-08-11 05:00:00,0.28,3.2,8.1,11.3,12.0,70.0,14.0,698.3,0.0,75.0,1.8,0.0,26.01,6.0,96.0
2023-08-11 06:00:00,0.29,4.7,10.0,14.6,10.0,76.0,15.0,698.5,0.0,76.0,1.8,0.0,25.61,6.0,94.0
2023-08-11 07:00:00,0.39,6.0,10.9,16.9,9.0,94.0,16.0,699.0,0.0,77.0,1.7,0.0,25.55,3.5,105.0
2023-08-11 08:00:00,0.35,6.9,10.0,17.0,12.0,97.0,17.0,699.4,0.0,74.0,1.8,0.0,26.81,4.2,113.0
2023-08-11 09:00:00,0.51,9.75,16.9,38.1,11.0,116.0,22.0,699.5,0.0,67.0,2.0,0.0,28.92,3.1,87.0
2023-08-11 10:00:00,0.67,12.6,16.5,29.1,21.0,158.0,22.0,699.5,0.0,59.0,1.9,0.0,31.01,3.1,109.0
2023-08-11 11:00:00,0.39,4.0,11.0,15.0,40.0,143.0,20.0,699.3,0.0,51.0,1.6,0.0,32.8,5.0,115.0
2023-08-11 12:00:00,0.43,2.9,10.7,13.7,62.0,122.0,20.0,698.9,0.0,47.0,1.6,0.0,33.73,8.4,105.0
2023-08-11 13:00:00,0.49,2.5,10.0,12.4,83.0,238.0,19.5,698.5,0.0,41.0,1.9,0.0,35.16,10.4,100.0
2023-08-11 14:00:00,0.58,2.5,11.7,14.2,90.0,129.0,19.0,697.9,0.0,36.0,1.9,0.0,36.06,13.6,102.0
2023-08-11 15:00:00,0.42,2.6,11.6,14.2,78.0,136.0,17.0,697.4,0.0,32.0,1.8,0.0,36.72,15.7,106.0
2023-08-11 16:00:00,0.35,2.6,14.5,17.1,81.0,118.0,16.0,697.0,0.0,32.0,1.8,0.0,36.58,14.7,115.0
2023-08-11 17:00:00,0.35,2.7,13.7,16.5,64.0,101.0,15.0,696.8,0.0,30.0,1.9,0.0,36.45,11.9,107.0
