Date,CENTRO CO ppm,CENTRO NO ppb,CENTRO NO2 ppb,CENTRO NOX ppb,CENTRO O3 ppb,CENTRO PM10 ug/m3,CENTRO PM2.5 ug/m3,CENTRO PRS mmhg,CENTRO RAINF mm/hr,CENTRO RH %,CENTRO SO2 ppb,CENTRO SR KW/m2,CENTRO TOUT degC,CENTRO WSR KMPH,CENTRO WDV DEG
2024-11-04 10:00:00,2.19,16.0,35.0,50.9,29.0,161.0,37.55,695.8,0.0,54.0,6.0,0.385,25.03,5.1,65.0
2024-11-04 11:00:00,2.07,13.8,30.2,43.8,35.0,100.0,35.49,695.8,0.0,48.0,13.0,0.5,27.08,6.3,102.0
2024-11-04 12:00:00,1.91,8.9,25.0,33.8,48.0,90.0,29.15,695.3,0.0,39.0,13.8,0.576,28.9,8.1,94.0
2024-11-04 13:00:00,2.11,11.2,28.2,39.3,58.0,78.0,30.69,694.4,0.0,38.0,9.6,0.589,30.24,10.7,116.0
2024-11-04 14:00:00,1.8,5.0,17.6,22.4,82.0,76.0,26.345,693.5,0.0,35.0,7.4,0.552,30.9,13.0,106.0
2024-11-04 15:00:00,1.67,4.0,15.2,19.1,79.0,62.0,22.0,692.9,0.0,31.0,5.4,0.464,31.69,12.2,102.0
2024-11-04 16:00:00,1.48,4.1,11.5,15.5,56.0,44.0,13.0,692.5,0.0,26.0,4.1,0.339,32.44,11.4,87.0
2024-11-04 17:00:00,1.61,4.5,15.1,19.4,49.0,39.0,14.0,692.5,0.0,27.0,4.3,0.176,31.71,10.4,122.0
2024-11-04 18:00:00,1.87,6.4,22.5,28.7,38.0,43.0,16.59,692.8,0.0,35.0,4.0,0.009,29.23,8.2,165.0
2024-11-04 19:00:00,2.01,7.3,25.4,32.5,30.0,55.0,20.75,693.3,0.0,46.0,4.0,0.0,27.66,8.1,158.0
2024-11-04 20:00:00,2.28,6.7,31.6,38.2,16.0,52.0,35.04,693.8,0.0,52.0,3.8,0.0,26.72,3.2,200.0
2024-11-04 21:00:00,2.76,49.7,45.3,94.9,3.0,84.0,45.98,694.3,0.0,54.0,4.1,0.0,25.37,1.6,352.0
2024-11-04 22:00:00,3.0,97.7,44.7,142.2,2.0,170.0,59.5,694.7,0.0,57.0,4.4,0.0,24.2,1.8,324.0
2024-11-04 23:00:00,3.32,126.0,42.5,168.4,2.0,229.0,60.17,694.9,0.0,60.0,4.5,0.0,23.44,1.6,298.0
2024-11-05 00:00:00,3.17,110.3,37.5,147.7,2.0,220.0,49.47,695.0,0.0,58.0,4.3,0.0,22.96,1.5,313.0
2024-11-05 01:00:00,2.66,91.7,34.0,125.5,1.5,159.0,52.32,695.2,0.0,66.0,4.2,0.0,22.19,1.5,44.0
2024-11-05 02:00:00,2.06,32.9,28.9,61.8,1.0,175.0,38.56,695.8,0.0,70.0,3.7,0.0,21.99,5.9,275.0
2024-11-05 03:00:00,1.73,12.9,23.0,35.7,1.0,93.0,41.15,696.6,0.0,79.0,3.4,0.0,22.14,9.9,297.0
2024-11-05 04:00:00,1.86,21.6,25.7,47.2,1.0,85.0,43.02,697.3,0.0,78.0,3.8,0.0,21.91,4.6,356.0
2024-11-05 05:00:00,1.57,9.0,16.6,25.4,13.0,98.0,31.79,698.0,0.0,63.0,6.9,0.0,21.62,6.7,78.0
2024-11-05 06:00:00,1.45,2.8,13.7,16.3,22.0,102.0,23.65,698.8,0.0,46.0,13.3,0.0,20.68,5.8,98.0
2024-11-05 07:00:00,1.49,4.3,17.6,21.7,20.0,112.0,25.09,699.5,0.0,42.0,10.9,0.0,19.85,3.7,59.0
